Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Wearable Devices for Ergonomics: A Systematic Literature Review","Wearable devices, such as sensor systems and smartwatches, can improve ergonomic conditions by monitoring and reducing awkward postures, and suggest future research directions.","E. Stefana, F. Marciano, D. Rossi, P. Cocca, Giuseppe Tomasoni",2021,137,"Wearable devices are pervasive solutions for increasing work efficiency, improving workers' well-being, and creating interactions between users and the environment anytime and anywhere. Although several studies on their use in various fields have been performed, there are no systematic reviews on their utilisation in ergonomics. Therefore, we conducted a systematic review to identify wearable devices proposed in the scientific literature for ergonomic purposes and analyse how they can support the improvement of ergonomic conditions. Twenty-eight papers were retrieved and analysed thanks to eleven comparison dimensions related to ergonomic factors, purposes, and criteria, populations, application and validation. The majority of the available devices are sensor systems composed of different types and numbers of sensors located in diverse body parts. These solutions also represent the technology most frequently employed for monitoring and reducing the risk of awkward postures. In addition, smartwatches, body-mounted smartphones, insole pressure systems, and vibrotactile feedback interfaces have been developed for evaluating and/or controlling physical loads or postures. The main results and the defined framework of analysis provide an overview of the state of the art of smart wearables in ergonomics, support the selection of the most suitable ones in industrial and non-industrial settings, and suggest future research directions.","systematic review","Sensors (Basel, Switzerland)","1","10.3390/s21030777","https://consensus.app/papers/wearable-devices-for-ergonomics-a-systematic-literature-stefana-marciano/f04bc41ee531589dbfb920c9812c22fb/"
"Adoption and performance outcome of digitalization in small and medium-sized enterprises","Digitalization in SMEs is simplified by appropriate technologies and a workforce with the right digital skills, but hindered by risk-averse culture and outdated legacy systems.","Andreas Kallmuenzer, A. Mikhaylov, Mihaela Chelaru, Wojciech Czakon",2024,150,"Digital transformation has a profound impact on businesses and various implications for firms. While some effectively navigate this digital shift, harnessing the benefits of modern technologies, many small and medium-sized enterprises (SMEs) struggle to seize the opportunities presented by this transformative process, despite its unprecedented potential. Decision-makers within SMEs often grapple with uncertainty surrounding the digitalization process, leading to hesitancy in embracing available technologies. This qualitative study endeavors to address this challenge by exploring the enablers and barriers of digitalization adoption within SMEs, while also assessing its impact on performance. In-depth interviews were conducted with SME managers, with the results revealing that several factors simplify the process of digitization in SMEs, including the appropriate technologies, and a workforce equipped with the right digital skills to use them. Conversely, we identified elements that pose barriers to digitalization, such as the risk-averse culture prevalent in many SMEs, and their reliance on outdated legacy systems. In summary, our research underscores the importance of a strategic interplay of these elements for effective digitization within SMEs. This study sheds light on the intricacies of the digitalization process, while also providing valuable insights into the factors influencing its adoption and the resulting performance outcomes in the SME context.","interview study","Review of Managerial Science","1","10.1007/s11846-024-00744-2","https://consensus.app/papers/adoption-and-performance-outcome-of-digitalization-in-kallmuenzer-mikhaylov/34dfb8e681ec5abbbb4afed125391423/"
"COVID-19 and digitalization: The great acceleration","COVID-19 is driving businesses to adopt digitalization, but challenges and risks may hinder its adoption and impact employee well-being.","J. Amankwah‐Amoah, Zaheer Khan, G. Wood, G. Knight",2021,716,"","","Journal of Business Research","1","10.1016/j.jbusres.2021.08.011","https://consensus.app/papers/covid19-and-digitalization-the-great-acceleration-amankwahamoah-khan/6cf5f3e6fd2e5727a74781f5e00d0b3c/"
"A Comparative Study: Blockchain Technology Utilization Benefits, Challenges and Functionalities","Blockchain technology offers benefits and advantages in various sectors, but faces challenges and functionalities.","Omar Ali, Ashraf Jaradat, Atik Kulakli, Ahmed Abuhalimeh",2021,180,"Blockchain technology enables users to verify, preserve, and synchronize the contents of a data sheet (a transaction ledger) replicated by multiple users. Blockchain technology has provided considerable advantages and incentives to industries in terms of enabling better services. This review aims to explore the benefits, challenges and functionalities that affect blockchain applications in different sectors. This article is constructed as a systematic literature review study. From 1976 articles, 168 final articles were selected and classified into three main dimensions, that is, benefits, challenges, and functionalities, in four different sectors: government, financial, manufacturing, and healthcare. The results were extracted and compared based on factors in three dimensions, which were categorized as benefits (informational, technological, economic, organizational, and strategic), challenges (technological, organizational, adoption, operational, and environmental and sustainability), and functionalities (point-to-point transmission, data ownership, data protection, and transaction processing). The results of this review study aim to support professionals, practitioners, and stakeholders who wish to implement and manage transformation projects related to blockchain in their sectors. Moreover, helping these possible blockchain users to understand the implied factors associated with blockchain would be beneficial for the decision-making processes of their organizations.","systematic review","IEEE Access","1","10.1109/access.2021.3050241","https://consensus.app/papers/a-comparative-study-blockchain-technology-utilization-ali-jaradat/85a0ff29d75051e4be361854cd717fe7/"
"Understanding the factors that determine workplace coaching effectiveness: a systematic literature review","Workplace coaching effectiveness is influenced by self-efficacy, coaching motivation, goal orientation, trust, interpersonal attraction, feedback intervention, and supervisory support.","Gil Bozer, Rebecca J. Jones",2018,192,"ABSTRACT Meta-analytic results have established that workplace coaching is effective, however, little is known about the determinants of coaching effectiveness. This paper reports an inclusive systematic literature review, covering the quantitative and qualitative research on workplace coaching. We focus on seven promising areas in the current workplace coaching literature that emerged by the synthesis of 117 empirical studies: self-efficacy, coaching motivation, goal orientation, trust, interpersonal attraction, feedback intervention, and supervisory support. The major contribution of our paper is the systematic integration of well-established theoretical constructs in the workplace coaching context and the new insights we provide in the synthesis of these literatures. Based on our review, we provide specific recommendations to be addressed in future research, including recommended research methodologies, which we propose will significantly progress the field of workplace coaching theory and practice.","systematic review","European Journal of Work and Organizational Psychology","1","10.1080/1359432x.2018.1446946","https://consensus.app/papers/understanding-the-factors-that-determine-workplace-bozer-jones/5b7d49d166db5f4eafad964a3a104eb8/"
"Uncovering Industry 4.0 technology attributes in sustainable supply chain 4.0: A systematic literature review","Industry 4.0 technologies like Blockchain and Internet of Things can significantly enhance sustainability in supply chains.","Saoussane Srhir, Anicia Jaegler, J. R. Montoya-Torres",2023,61,"<jats:title>Abstract</jats:title><jats:p>Industry 4.0 technologies are transforming supply chain management from a linear model to what is known as supply chain 4.0, where operations are integrated, and flows stream in multiple directions. The study aims to explore the attributes of Industry 4.0 technologies and their impact to drive sustainability values. The findings were generated after a systematic literature review of 71 articles on various sustainability dimensions and multiple Industry 4.0 technologies. The study provides a review of the most studied technologies in the sustainable supply chain context and categorizes their attributes as well as their relevance to sustainability. The results show that advances in technologies such as Blockchain and Internet of Things have increased the potential for supply chains to reach sustainability values.</jats:p><jats:p>The study expands the existing literature and encourages businesses and the scientific community to investigate the power of Industry 4.0 technologies for sustainability.</jats:p><jats:p>It presents limitations and directions for future research.</jats:p>","systematic review","Business Strategy and the Environment","1","10.1002/bse.3358","https://consensus.app/papers/uncovering-industry-40-technology-attributes-in-srhir-jaegler/f998e5acbc745a3c9274a85dbaf768ac/"
"Understanding and shaping the future of work with self-determination theory","Self-determination theory helps shape the future of work by analyzing how technological innovations impact worker motivation, performance, and well-being.","Marylène Gagné, S. Parker, M. Griffin, Patrick D. Dunlop, Caroline Knight, Florian E. Klonek, Xavier Parent-Rocheleau",2022,323,"Self-determination theory has shaped our understanding of what optimizes worker motivation by providing insights into how work context influences basic psychological needs for competence, autonomy and relatedness. As technological innovations change the nature of work, self-determination theory can provide insight into how the resulting uncertainty and interdependence might influence worker motivation, performance and well-being. In this Review, we summarize what self-determination theory has brought to the domain of work and how it is helping researchers and practitioners to shape the future of work. We consider how the experiences of job candidates are influenced by the new technologies used to assess and select them, and how self-determination theory can help to improve candidate attitudes and performance during selection assessments. We also discuss how technology transforms the design of work and its impact on worker motivation. We then describe three cases where technology is affecting work design and examine how this might influence needs satisfaction and motivation: remote work, virtual teamwork and algorithmic management. An understanding of how future work is likely to influence the satisfaction of the psychological needs of workers and how future work can be designed to satisfy such needs is of the utmost importance to worker performance and well-being.

© Springer Nature America, Inc. 2022.","literature review","Nature Reviews Psychology","1","10.1038/s44159-022-00056-w","https://consensus.app/papers/understanding-and-shaping-the-future-of-work-with-gagn-parker/5a33ea171cef58708c32e80510acaa07/"
"Investigating factors influencing consumer decision-making while choosing green products","Consumers' knowledge, commitment, and general awareness of green products influence their green consciousness and decision-making while choosing green products, including environmental benefits, economic benefits, reliability, and appearance.","P. Maniatis",2016,311,"","cross-sectional study","Journal of Cleaner Production","1","10.1016/j.jclepro.2015.02.067","https://consensus.app/papers/investigating-factors-influencing-consumer-maniatis/f1420be2148b5ed4b0d586da46da13ed/"
"Designing human-robot collaboration (HRC) workspaces in industrial settings: A systemic literature review","This paper reviews the literature on designing human-robot collaboration workspaces in industrial settings, highlighting the need for safe, ergonomic, sustainable, and healthy environments that consider technical, social, and psychophysical aspects of collaboration.","A. Simões, Ana Sofia Brás Pinto, Joana Santos, Sofia Pinheiro, David Romero",2022,171,"","systematic review","Journal of Manufacturing Systems","1","10.1016/j.jmsy.2021.11.007","https://consensus.app/papers/designing-humanrobot-collaboration-hrc-workspaces-in-simes-pinto/445b93076c6a58cea6c68653bac73a4a/"
"Professional autonomy in nursing: An integrative review.","Professional autonomy in nursing involves independence in decision-making, using one's own competence, and fostering shared leadership, professional skills, collaboration, and a healthy work environment.","Katja Pursio, P. Kankkunen, E. Sanner-Stiehr, T. Kvist",2021,191,"Aim: To summarize knowledge of professional autonomy in nursing.

Background: Professional autonomy is associated with experienced meaningfulness of the work. This refers to participation in decision-making and the ability to influence working practices.

Evaluation: In an integrative review, relevant studies were retrieved from four databases. Quality was systematically evaluated using critical appraisal tools. PRISMA guidelines were followed. Inductive content analysis was used to analyse current knowledge of the focal subject.

Key issues: The search identified 27 relevant studies published between 2000 and 2019. Elements describing nurses' professional autonomy were independence in decision-making and ability to utilize one's own competence. Themes relating to nurses' professional autonomy were shared leadership, professional skills, inter- and intra-professional collaboration and healthy work environment.

Conclusion: Understanding the multidimensional nature of professional autonomy is essential to create attractive work environments. It is important to enable nurses to participate in decision-making and develop nursing through shared leadership to enhance the recruitment and retention of a skilled workforce.

Implications for nursing management: The findings have anticipated utility for supporting nursing practice and nurse leaders' understanding of approaches to foster nurses' professional autonomy.

© 2021 The Authors. Journal of Nursing Management published by John Wiley & Sons Ltd.","systematic review","Journal of nursing management","1","10.1111/jonm.13282","https://consensus.app/papers/professional-autonomy-in-nursing-an-integrative-review-pursio-kankkunen/d88885b1eaab50caba1e3f005a4e26c5/"
"Feature selection in machine learning: A new perspective","Feature selection in machine learning reduces computation time, improves learning accuracy, and enhances understanding of the learning model or data.","Jie Cai, Jiawei Luo, Shulin Wang, Sheng Yang",2018,1798,"","literature review","Neurocomputing","1","10.1016/j.neucom.2017.11.077","https://consensus.app/papers/feature-selection-in-machine-learning-a-new-perspective-cai-luo/7c389161d8c95d99887cbe4150b7c6df/"
"Prevalence, associated factors and adverse outcomes of workplace violence towards nurses in psychiatric settings: A systematic review.","Workplace violence against psychiatric nurses is prevalent and associated with poor mental health and negative work-related outcomes.","S. Jang, Y. Son, Haeyoung Lee",2021,92,"Workplace violence towards psychiatric nurses by psychiatric patients is common, which can potentially affect care quality as well as nurses' health. This study aimed to synthesize the literature on workplace violence towards psychiatric nurses and identify the prevalence and factors influencing workplace violence and related outcomes. PubMed, Cochrane Library, CINAHL, EMBASE and PsychINFO were searched for English articles on workplace violence against psychiatric nurses published from January 2011 to December 2020. Sixteen articles were selected for the systematic review. This was followed by quality assessment and data extraction. The workplace violence prevalence ranged 11.4-97.6%. Diagnosis of the patient; nurse-related factors such as age, sex, marital status, education, emotional intelligence level and personality; and work shift were associated with the occurrence of workplace violence. Psychiatric nurses who experienced workplace violence had primarily poor mental health such as depressive symptoms and negative work-related outcomes such as turnover intention. The results revealed that there were relatively few patient-related factors associated with workplace violence and few reports on workplace violence-related to nurses' physical health, suggesting the need for a multi-dimensional approach. Future studies are needed to develop standardized instruments for workplace violence investigation considering inpatients psychiatric settings. Effective workplace violence prevention strategies should consider comprehensive patient-, nurse- and occupation-related factors.

© 2021 John Wiley & Sons Australia, Ltd.","systematic review","International journal of mental health nursing","1","10.1111/inm.12951","https://consensus.app/papers/prevalence-associated-factors-and-adverse-outcomes-of-jang-son/e515b38dee955b4aaa361469ffb1f503/"
"Big Data technologies: A survey","This paper reviews various Big Data technologies to help select the right combination for specific applications' needs, highlighting their features, advantages, limitations, and usages.","A. Oussous, Fatima-Zahra Benjelloun, A. A. Lahcen, Samir Belfkih",2017,859,"","","Journal of King Saud University Computer and Information Sciences","1","10.1016/j.jksuci.2017.06.001","https://consensus.app/papers/big-data-technologies-a-survey-oussous-benjelloun/d3498709eeff5f4ca9c4c1b898919639/"
"Knowledge management, decision-making style and organizational performance","Knowledge management enabling factors and decision-making style (intuitive or rational) positively impact organizational performance through the knowledge creation process.","A. Abubakar, Hamzah Elrehail, M. Alatailat, A. Elçi",2017,771,"","theoretical, modeling, or simulation study","Journal of Innovation & Knowledge","1","10.1016/j.jik.2017.07.003","https://consensus.app/papers/knowledge-management-decisionmaking-style-and-abubakar-elrehail/73cc510fb05652728729549c415c49ad/"
"Influence of communication determinants on safety commitment in a high-risk workplace: a systematic literature review of four communication dimensions","Safety communication, communication climate, and satisfaction significantly influence safety commitment in high-risk workplaces, such as the oil and gas industry.","Jamil Zara, S. Nordin, A. Isha",2023,55,"Health, safety, and environment (HSE) are critical aspects of any industry, particularly in high-risk environments, such as the oil and gas industry. Continuous accident reports indicate the requirement for the effective implementation of safety rules, regulations, and practices. This systematic literature review examines the relationship between safety communication and safety commitment in high-risk workplaces, specifically focusing on the oil and gas industry. The review comprises 1,439 articles from 2004 to 2023, retrieved from the Scopus and Web of Science databases following the PRISMA comprehensive guidelines. This study considers safety communication, communication climate, and communication satisfaction to evaluate their influence on safety commitment under occupational health and safety. This study identifies safety commitment issues and their underlying factors, discussing measures for preventing and reducing accidents and incidents and highlighting preventive measures for future research. It also signifies the variables influencing accident and incident rates. The research underscores the importance of communication dimensions and the need for workers to possess adequate skills, knowledge, and attitudes regarding occupational safety and health procedures. Moreover, the study contributes to the industrial and academic domains by improving organizational safety commitment, promoting a safety culture, and developing effective communication strategies. Furthermore, practitioners may benefit from this comprehensive overview in developing, evaluating, and enhancing occupational safety.

Copyright © 2023 Zara, Nordin and Isha.","systematic review","Frontiers in Public Health","1","10.3389/fpubh.2023.1225995","https://consensus.app/papers/influence-of-communication-determinants-on-safety-zara-nordin/8e20aae2c81a5e8a99657084a5a1d2ab/"
"Technology trends in the creative and cultural industries sector: a systematic literature review","Digital content technology trends are driving changes in the creative and cultural industries, fostering innovation and professionalization in the creative economy.","L. Ortiz-Ospino, E. González-Sarmiento, J. Roa-Perez",2025,26,"This article focuses on reviewing technology trends related to the creative and cultural industries (CCIs) and their impact on the development of cultural goods and services. Through a systematic literature review and a technology oversight process, the most influential global technology trends for CCIs are identified, with a specific focus on digital content. The results reveal that these technology trends are driving changes in the creation, the production, the distribution, and the consumption of digital content. On the demand side, there has been a significant increase in the consumption of digital content, fueled by improved access and technological efficiency. The pandemic has further accelerated this shift. On the supply side, CCIs have leveraged internet access and mobile devices to promote brands, deploy digital marketing strategies, and expand e-commerce. The study identifies key subsectors of CCIs in the digital content field, including audiovisual, design, editorial and publishing, music and entertainment, digital advertising, information technology, software, computer services, and video games. Finally, it highlights the key role of CCIs in the transition toward a more sustainable and socially responsible economy. This study provides valuable insights into the dynamics of CCIs and the technological trends reshaping this sector, fostering innovation and professionalization in the creative economy.","systematic review","Journal of Innovation and Entrepreneurship","1","10.1186/s13731-025-00497-6","https://consensus.app/papers/technology-trends-in-the-creative-and-cultural-industries-ortiz-ospino-gonzlez-sarmiento/2a1822c320d95bbf90b5d46e53323a61/"
"Impact of digital surge during Covid-19 pandemic: A viewpoint on research and practice","The Covid-19 pandemic has led to a surge in digital technologies, affecting work-at-home, gig economy, blockchain, online fraud, surveillance, and privacy.","R. De', Neena Pandey, Abhipsa Pal",2020,877,"","commentary or perspective","International Journal of Information Management","1","10.1016/j.ijinfomgt.2020.102171","https://consensus.app/papers/impact-of-digital-surge-during-covid19-pandemic-a-de-pandey/36faa9199e725c8c9ae58dafee0372c9/"
"A systematic review on the impact of teacher professional development on digital instructional integration and teaching practices","Effective teacher professional development programs, including collaborative learning environments, hands-on digital training, ongoing mentorship, and institutional support, positively impact teachers' attitudes, confidence, and competencies towards digital instructional integration.","Stephen Kwashie Amemasor, Stephen Opoku Oppong, Benjamin Ghansah, Ben-Bright Benuwa, D. Essel",2025,108,"This systematic review examines the influence of teacher professional development (TPD) programs on teachers’ attitudes toward digital instructional integration (DII). By analyzing 23 peer-reviewed studies published between 2020 and 2024, this study explores the key components of effective TPD programs and their impact on digital instructional practices. The review follows the PRISMA framework, detailing a structured selection process, including database searches, inclusion and exclusion criteria, and a rigorous qualitative synthesis of findings. Results indicate that effective TPD programs share key characteristics, including collaborative learning environments, hands-on digital training, ongoing mentorship, and institutional support. These elements foster positive shifts in teachers’ attitudes, confidence, and competencies regarding DII. The study highlights the need for sustained and context-specific professional development initiatives beyond one-time training sessions to ensure meaningful and long-term integration of digital tools in education. This review contributes to the field by providing evidence-based insights into designing and implementing impactful TPD programs. Its findings inform policymakers, educators, and professional development providers on structuring TPD to maximize digital instructional integration. Future research should explore the longitudinal impacts of TPD on teaching efficacy and student outcomes in technology-enhanced learning environments.","systematic review","Frontiers in Education","2","10.3389/feduc.2025.1541031","https://consensus.app/papers/a-systematic-review-on-the-impact-of-teacher-professional-amemasor-oppong/8ce0a6d2947855b1aa010dafc9800d2f/"
"Gender differences in information and communication technology use & skills: a systematic review and meta-analysis","Boys show a small positive effect in ICT use and skills, but this finding needs further validation and collaboration among various stakeholders.","Atika Qazi, Najmul Hasan, O. Abayomi-Alli, Glenn Hardaker, Ronny Scherer, Yeahia Sarker, Sanjoy Kumar Paul, Jaafar Zubairu Maitama",2021,148,"Even though information and communication technology (ICT) is essential for everyday life and has gained considerable attention in education and other sectors, it also carries individual differences in its use and relevant skills. This systematic review aims to examine the gender differences in ICT use and skills for learning through technology. A comprehensive search of eight journal databases and a specific selection criterion was carried out to exclude articles that match our stated exclusion criteria. We included 42 peer-reviewed empirical publications and conference proceedings published between 2006 and 2020. For a subsample of studies, we performed a small-scale meta-analysis to quantify possible gender differences in ICT use and skills. A random-effects model uncovered a small and positive, yet not significant, effect size in favor of boys (g = 0.17, 95% CI [-0.01, 0.36]). However, this finding needs to be further backed by large-scale meta-analyses, including more study samples and a broader set of ICT use and skills measures. We highlight several concerns that should be addressed and more thoroughly in collaboration with one another to better IT skills and inspire new policies to increase the quality of ICT use. The findings from this review further suggest implications and present existing research challenges and point to future research directions.

© The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2021.","meta-analysis","Education and Information Technologies","1","10.1007/s10639-021-10775-x","https://consensus.app/papers/gender-differences-in-information-and-communication-qazi-hasan/d813d549957151c28ea71c91d6feff58/"
"Ecological niche modeling in Maxent: the importance of model complexity and the performance of model selection criteria.","Inappropriately complex or simple Maxent models reduce habitat quality, variable importance, and model transferability, while information criteria offer significant advantages over traditional methods.","D. Warren, Stephanie N. Seifert",2011,2192,"Maxent, one of the most commonly used methods for inferring species distributions and environmental tolerances from occurrence data, allows users to fit models of arbitrary complexity. Model complexity is typically constrained via a process known as L1 regularization, but at present little guidance is available for setting the appropriate level of regularization, and the effects of inappropriately complex or simple models are largely unknown. In this study, we demonstrate the use of information criterion approaches to setting regularization in Maxent, and we compare models selected using information criteria to models selected using other criteria that are common in the literature. We evaluate model performance using occurrence data generated from a known ""true"" initial Maxent model, using several different metrics for model quality and transferability. We demonstrate that models that are inappropriately complex or inappropriately simple show reduced ability to infer habitat quality, reduced ability to infer the relative importance of variables in constraining species' distributions, and reduced transferability to other time periods. We also demonstrate that information criteria may offer significant advantages over the methods commonly used in the literature.","theoretical, modeling, or simulation study","Ecological applications : a publication of the Ecological Society of America","1","10.1890/10-1171.1","https://consensus.app/papers/ecological-niche-modeling-in-maxent-the-importance-of-warren-seifert/281b982b683850cc9cd0f230cd1d1148/"
"Key drivers in the behavior of potential consumers of remanufactured products: a study on laptops in Spain","Potential consumers of remanufactured laptops in Spain are driven by environmental concerns, cost, and convenience, providing valuable information for companies implementing green initiatives.","Beatriz Jiménez-Parra, S. Rubio, M. Vicente-Molina",2014,180,"","cross-sectional study","Journal of Cleaner Production","1","10.1016/j.jclepro.2014.05.047","https://consensus.app/papers/key-drivers-in-the-behavior-of-potential-consumers-of-jimnez-parra-rubio/3655b5e8bf4357a69d7008bbe39b8f54/"
"Predicting changing pattern: building model for consumer decision making in digital market","The study proposes a model to predict consumer decision-making in digital markets, highlighting the importance of innovative and trendy products, brand and quality, and fulfillment and time energy for service providers to retain customers.","Anil Kumar, S. Mangla, S. Luthra, Nripendra P. Rana, Yogesh Kumar Dwivedi",2018,99,"
Purpose
Consumers have the multiple options to choose their products and services, which have a significant impact on the pattern of consumer decision making in digital market and further increases the challenges for the service providers to predict their buying pattern. In this sense, the purpose of this paper is to propose a structural hierarchy model for analyzing the changing pattern of consumer decision making in digital market by taking an Indian context.


Design/methodology/approach
To accomplish the objectives, the research is conducted in two phases. An extensive literature review is performed in the first phase to list the factors related to the changing pattern of consumer decision making in digital market and then fuzzy Delphi method is applied to finalize the factors. In the second phase, fuzzy analytic hierarchy process (AHP) is employed to find the priority weights of finalized factors. The fuzzy set theory allows capturing the vagueness in the data.


Findings
The findings obtained in this study shows that consumers are much conscious about innovative and trendy products as well as brand and quality; therefore, the service providers must think about these two most important factors so that they can able to retain their consumer in their online portal.


Practical implications
The analysis shows that “innovative and trendy” is the first priority factor for the consumers followed by “brand and quality” and “fulfilment and time energy.” The proposed model can help the marketers and service providers in predicting customers’ preferences and their changing pattern efficiently under vague surroundings. The outcomes of this research work not only help the service provider to update their products and services according to consumers’ needs but can also help them to increase profit and minimize their risk.


Originality/value
This work contributes to consumer research literature focusing on problem evaluation in the context of changing pattern of consumer decision making in digital era.
","theoretical, modeling, or simulation study","J. Enterp. Inf. Manag.","1","10.1108/jeim-01-2018-0003","https://consensus.app/papers/predicting-changing-pattern-building-model-for-consumer-kumar-mangla/ba77f7c59f50513a837b06824e9de9bd/"
"A Systematic Review of Implementing Multi-Criteria Decision-Making (MCDM) Approaches for the Circular Economy and Cost Assessment","Multi-Criteria Decision-Making (MCDM) is a valuable tool for evaluating the circular economy, balancing environmental, economic, and social criteria.","Ali Tighnavard Balasbaneh, Silvio Aldrovandi, Willy Sher",2025,41,"This study advances circular economy initiatives by advocating for the use of Multi-Criteria Decision-Making (MCDM). MCDM methods address the complex multi-faceted aspects of a product or process. They enable conflicting calculations of energy, cost, environmental criteria, and payback periods to be balanced. A systematic critical systematic review and bibliometric analysis were conducted to investigate the contribution of MCDM to the circular economy. The Scopus database was the primary data source reviewed. The geographical distribution, main research sources, and keyword co-occurrences were analyzed across 31 peer-reviewed book chapters, conference papers, and journal articles. The journal Sustainability (Switzerland) had the most publications (4), followed by the Journal of Business Strategy and the Environment and the Journal of Cleaner Production, each with two articles. Recently MCDM has gained popularity as a tool for evaluating the circular economy. This growing interest may be attributed to the complexity of the circular economy, as MCDM effectively balances multiple environmental criteria while integrating evaluations of economic cost and social impact. Criteria are incommensurable as each criterion has a distinct unit of measurement, making it impossible to compare outcomes across different indicators. MCDM is thus an ideal technique for assessing different options by integrating criteria within testable frameworks. However, no established patterns for selecting specific MCDM methods were identified. This is despite some options (e.g., combinations of AHP and TOPSIS) being used more frequently than others. In conclusion, all the studies identified financial factors as the most significant or highly sensitive issue in the transition toward a circular economy.","systematic review","Sustainability","1","10.3390/su17115007","https://consensus.app/papers/a-systematic-review-of-implementing-multicriteria-balasbaneh-aldrovandi/d34c0bc9e6a65a0db986af933af9d9c6/"
"Workplace Spirituality and Its Impact on Employee Well-Being: A Systematic Literature Review of Global Evidence","Religious workplace practices positively correlate with employee well-being, but organizations must balance religious expression with inclusivity to foster a supportive and harmonious work environment.","Aminun Nabil Ahmad Syahir, Mohd Syukri Zainal Abidin, C. Z. Sa’ari, Muhamad Zulfadli Abdul Rahman",2025,31,"Employee well-being is a critical factor influencing organizational performance, job satisfaction, and overall productivity. The role of religión in the workplace in shaping employee well-being has gained increasing scholarly attention, yet a comprehensive synthesis of existing literature remains limited. Further the lack of a comprehensive synthesis makes it difficult to assess the overall impact of religious environments on employees' psychological and professional experiences. This systematic literature review examines the impact of religious workplace environments on employee well-being from global evidence by analyzing 38 relevant studies retrieved from the Scopus and Web of Science databases. The review follows the PRISMA guidelines to ensure a rigorous selection and evaluation process focusing on studies published between 2020 and 2024. The findings were divided into four themes, namely: workplace spirituality and employee well-being, spiritual leadership and organizational performance, workplace spirituality and employee engagement or motivation, and religiosity, spirituality, and employee experiences. The results indicate that a majority of the studies demonstrate a positive correlation between religious workplace practices and employee well-being metrics, reinforcing the significance of organizational spirituality. Despite these benefits, the review underscores the importance of inclusive workplace policies to ensure that religious expression does not lead to alienation or conflict. The study concludes that while religious workplaces can significantly enhance employee well-being, organizations must balance religious expressions with inclusivity to foster a supportive and harmonious work environment. Future research should explore cross-cultural comparisons and longitudinal studies to better understand the long-term implications of religious workplace settings on employee well-being.

© 2025. The Author(s).","systematic review","Journal of Religion and Health","1","10.1007/s10943-025-02350-2","https://consensus.app/papers/workplace-spirituality-and-its-impact-on-employee-syahir-abidin/8d33c1048c7256b8a5c212cefd3333fd/"
"Resilience in the Workplace: A Multilevel Review and Synthesis","Resilience in the workplace is crucial for employees to handle adversity and positively influence organizational outcomes, but its conceptualization, development, and influence remain in debate.","Silja Hartmann, M. Weiss, Alexander Newman, M. Hoegl",2019,412,"In an increasingly dynamic business environment, the concept of resilience is fundamental to understanding how employees successfully handle adversity. Yet, the operationalisation of the concept, the factors which lead to its development, and how and why it influences outcomes of interest to organisations are issues still under debate in the literature. In this article, we address these debates by undertaking a critical review of research on resilience in the workplace at both the individual and team levels. We pinpoint different conceptualisations of resilience and highlight how resilience has been measured in extant quantitative work. Further, we provide a systematic literature review of empirical work on the antecedents and outcomes of resilience at the individual and team levels, as well as conduct a review of work that has introduced resilience as a moderator or mediator. In doing so, we highlight theoretical approaches that have been adopted to study resilience in the workplace. Based on our review of the extant empirical work on resilience, we develop a roadmap for future research. In particular, we pinpoint relevant theoretical approaches that help us understand the mechanisms underlying the development and outcomes of resilience and highlight opportunities for empirical advancement of the literature.","systematic review","Applied Psychology","1","10.1111/apps.12191","https://consensus.app/papers/resilience-in-the-workplace-a-multilevel-review-and-hartmann-weiss/a69abaf7a5f058b18048974df5892989/"
"Enhancing employees’ performance and well-being with nature exposure embedded office workplace design","Workplace design that integrates both indoor and outdoor nature exposure improves employee well-being and performance, contributing to integrated sustainability.","Abdul-Manan Sadick, Imriyas Kamardeen",2020,89,"","systematic review","Journal of building engineering","1","10.1016/j.jobe.2020.101789","https://consensus.app/papers/enhancing-employees-performance-and-wellbeing-with-sadick-kamardeen/43b5ae61a6545e399cc1b454975596c7/"
